SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, -0.0001, 0, 0.0072, 0.0384, 1.0060, 0.0507, -0.0441, -0.0790, -1.9877, 37.0067, 59.9532, -0.0029, -0.0450, -0.3549, 1.0000, 0.0000, 0.0004, 0.0031, -0.0080, -0.0384, -2.0060, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0099, 1, 0.0078, 0.0400, 1.0049, -0.0575, 0.0043, 0.0421, -1.7831, 37.0067, 61.0056, -0.0035, -0.0451, -0.3553, 1.0000, 0.0000, 0.0004, 0.0031, -0.0086, -0.0399, -2.0049, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0199, 2, 0.0079, 0.0394, 1.0062, -0.0396, 0.0396, -0.0091, -1.9000, 37.4452, 61.2394, 0.0089, -0.0367, -0.3539, 1.0000, -0.0001, 0.0003, 0.0031, -0.0086, -0.0394, -2.0062, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0299, 3, 0.0074, 0.0384, 1.0069, -0.0552, -0.0793, -0.0468, -1.6662, 38.0006, 60.4794, 0.0084, -0.0359, -0.3534, 1.0000, -0.0001, 0.0003, 0.0031, -0.0081, -0.0385, -2.0069, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0399, 4, 0.0079, 0.0390, 1.0050, -0.0022, -0.1140, -0.0118, -1.8416, 37.5913, 60.0994, 0.0083, -0.0348, -0.3532, 1.0000, -0.0001, 0.0003, 0.0031, -0.0085, -0.0391, -2.0050, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0499, 5, 0.0073, 0.0397, 1.0067, -0.1274, 0.0400, -0.0454, -1.8416, 37.5913, 60.0994, 0.0071, -0.0352, -0.3528, 1.0000, -0.0001, 0.0003, 0.0031, -0.0079, -0.0398, -2.0067, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0599, 6, 0.0064, 0.0384, 1.0049, 0.0319, -0.0460, 0.0077, -1.4031, 37.7667, 61.2979, 0.0074, -0.0347, -0.3529, 1.0000, -0.0001, 0.0003, 0.0031, -0.0070, -0.0386, -2.0049, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0699, 7, 0.0078, 0.0395, 1.0067, -0.0129, -0.0078, 0.0414, -1.7246, 37.3867, 60.8009, 0.0380, -0.0206, -0.3498, 1.0000, -0.0003, 0.0002, 0.0031, -0.0084, -0.0397, -2.0067, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0799, 8, 0.0069, 0.0383, 1.0067, 0.0255, 0.0288, 0.0076, -1.8708, 37.6790, 60.6255, 0.0382, -0.0209, -0.3499, 1.0000, -0.0003, 0.0002, 0.0031, -0.0072, -0.0389, -2.0067, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0899, 9, 0.0071, 0.0395, 1.0058, -0.0431, -0.0728, -0.0481, -1.5493, 38.1175, 60.4502, 0.0378, -0.0202, -0.3494, 1.0000, -0.0003, 0.0002, 0.0030, -0.0074, -0.0402, -2.0058, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0999, 10, 0.0080, 0.0392, 1.0058, 0.0958, 0.0286, 0.0263, -1.5493, 38.1175, 60.4502, 0.0388, -0.0205, -0.3496, 1.0000, -0.0003, 0.0002, 0.0031, -0.0084, -0.0399, -2.0058, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.1099, 11, 0.0065, 0.0408, 1.0063, 0.0433, 0.0466, -0.0265, -1.6954, 36.7144, 60.3040, 0.0392, -0.0209, -0.3494, 1.0000, -0.0003, 0.0002, 0.0030, -0.0069, -0.0415, -2.0063, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.1199, 12, 0.0073, 0.0390, 1.0048, 0.0965, -0.0401, 0.0422, -1.5200, 37.0944, 60.1871, 0.0335, -0.0155, -0.3535, 1.0000, -0.0003, 0.0001, 0.0031, -0.0076, -0.0396, -2.0048, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.1299, 13, 0.0060, 0.0382, 1.0056, -0.0266, -0.0048, -0.0289, -1.1692, 37.4452, 60.2163, 0.0333, -0.0155, -0.3532, 1.0000, -0.0003, 0.0001, 0.0031, -0.0063, -0.0388, -2.0056, 0.0000, 0.0000, 0.0000, 0.0000
