SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, 0.0004, 0, -0.2232, 0.1097, 0.9751, 0.0743, 0.0670, -0.0500, -32.0374, 44.2853, 57.0301, -173.5843, -12.7757, -44.2240, 0.0097, 0.9216, -0.3677, 0.1238, 0.0021, -0.0007, -0.0060, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0104, 1, -0.2230, 0.1108, 0.9750, -0.0488, -0.0373, 0.0152, -31.7159, 43.9930, 57.3809, -173.5784, -12.7884, -44.2251, 0.0097, 0.9216, -0.3677, 0.1240, 0.0018, -0.0018, -0.0059, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0204, 2, -0.2227, 0.1097, 0.9759, -0.0857, 0.0123, 0.0853, -31.1020, 43.1453, 57.4393, -173.5791, -12.7884, -44.2260, 0.0097, 0.9216, -0.3677, 0.1240, 0.0014, -0.0007, -0.0068, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0304, 3, -0.2233, 0.1097, 0.9766, 0.0390, -0.0378, 0.0516, -31.1020, 43.1453, 57.4393, -173.5786, -12.7880, -44.2265, 0.0097, 0.9216, -0.3677, 0.1240, 0.0019, -0.0007, -0.0075, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0404, 4, -0.2226, 0.1102, 0.9746, 0.0037, -0.0204, 0.0339, -31.4528, 43.7884, 57.5270, -173.5785, -12.7877, -44.2268, 0.0097, 0.9216, -0.3677, 0.1240, 0.0013, -0.0011, -0.0056, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0504, 5, -0.2209, 0.1092, 0.9756, 0.0046, -0.0190, -0.0357, -31.6574, 43.0868, 57.3517, -173.5785, -12.7876, -44.2264, 0.0097, 0.9216, -0.3677, 0.1240, -0.0004, -0.0002, -0.0065, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0604, 6, -0.2224, 0.1089, 0.9755, -0.0286, -0.0660, -0.1935, -31.5697, 44.6068, 57.3809, -173.5749, -12.7838, -44.2260, 0.0098, 0.9216, -0.3677, 0.1239, 0.0010, 0.0002, -0.0064, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0704, 7, -0.2228, 0.1080, 0.9755, 0.0045, -0.0870, -0.0018, -31.8620, 44.1684, 57.0009, -173.5749, -12.7829, -44.2259, 0.0098, 0.9216, -0.3677, 0.1239, 0.0015, 0.0011, -0.0064, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0804, 8, -0.2228, 0.1096, 0.9749, 0.0212, -0.0535, 0.0340, -31.6282, 44.5191, 56.9132, -173.5746, -12.7824, -44.2261, 0.0098, 0.9216, -0.3677, 0.1239, 0.0015, -0.0005, -0.0058, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0904, 9, -0.2223, 0.1089, 0.9757, -0.1191, -0.0176, -0.0721, -31.6282, 44.5191, 56.9132, -173.5760, -12.7823, -44.2254, 0.0098, 0.9216, -0.3677, 0.1239, 0.0010, 0.0003, -0.0066, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.1004, 10, -0.2215, 0.1106, 0.9766, 0.0035, -0.0710, 0.0507, -31.0728, 43.1160, 57.0009, -173.5758, -12.7815, -44.2258, 0.0098, 0.9216, -0.3677, 0.1239, 0.0003, -0.0015, -0.0076, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.1104, 11, -0.2221, 0.1103, 0.9743, -0.1365, 0.0176, -0.1239, -31.4528, 43.9930, 57.7024, -173.5732, -12.7817, -44.2258, 0.0098, 0.9216, -0.3677, 0.1239, 0.0009, -0.0011, -0.0052, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.1204, 12, -0.2232, 0.1097, 0.9763, -0.0664, -0.0352, -0.0368, -31.2189, 44.5484, 57.2640, -173.5739, -12.7814, -44.2254, 0.0098, 0.9216, -0.3677, 0.1239, 0.0020, -0.0005, -0.0072, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.1304, 13, -0.2226, 0.1086, 0.9754, -0.0508, 0.0662, 0.0180, -31.9790, 44.6945, 57.3809, -173.5744, -12.7821, -44.2257, 0.0098, 0.9216, -0.3677, 0.1239, 0.0013, 0.0006, -0.0063, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.1404, 14, -0.2220, 0.1097, 0.9756, -0.0146, -0.0718, 0.0852, -31.9790, 44.6945, 57.3809, -173.5744, -12.7812, -44.2265, 0.0098, 0.9216, -0.3677, 0.1239, 0.0008, -0.0005, -0.0065, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.1504, 15, -0.2227, 0.1090, 0.9753, 0.0031, -0.0543, 0.0685, -31.7743, 44.8992, 57.5855, -173.5742, -12.7806, -44.2271, 0.0098, 0.9216, -0.3677, 0.1239, 0.0015, 0.0002, -0.0062, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.1604, 16, -0.2227, 0.1088, 0.9764, -0.0696, 0.0624, -0.0662, -31.1897, 44.8407, 57.4686, -173.5837, -12.7794, -44.2242, 0.0097, 0.9216, -0.3677, 0.1239, 0.0015, 0.0003, -0.0073, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.1704, 17, -0.2228, 0.1088, 0.9741, -0.0813, -0.0370, -0.0327, -31.2482, 43.7884, 57.7609, -173.5846, -12.7791, -44.2238, 0.0097, 0.9216, -0.3677, 0.1239, 0.0016, 0.0001, -0.0050, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.1804, 18, -0.2217, 0.1099, 0.9756, 0.0590, 0.0667, -0.0628, -31.8036, 43.6422, 57.4686, -173.5842, -12.7798, -44.2233, 0.0097, 0.9216, -0.3677, 0.1239, 0.0005, -0.0009, -0.0064, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.1904, 19, -0.2219, 0.1101, 0.9749, -0.0646, -0.0209, 0.0202, -31.8036, 43.6422, 57.4686, -173.5848, -12.7796, -44.2235, 0.0097, 0.9216, -0.3677, 0.1239, 0.0007, -0.0011, -0.0058, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.2004, 20, -0.2214, 0.1096, 0.9761, 0.0237, -0.0381, 0.0388, -31.7159, 44.2853, 58.1117, -173.5845, -12.7791, -44.2238, 0.0097, 0.9216, -0.3677, 0.1239, 0.0002, -0.0006, -0.0069, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.2104, 21, -0.2219, 0.1104, 0.9754, -0.0116, 0.0490, -0.0470, -31.3359, 44.3730, 57.4393, -173.5924, -12.7799, -44.2212, 0.0096, 0.9216, -0.3677, 0.1239, 0.0007, -0.0014, -0.0063, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.2204, 22, -0.2219, 0.1090, 0.9751, 0.0416, 0.0321, -0.0465, -31.8036, 43.0576, 57.6732, -173.5921, -12.7803, -44.2208, 0.0096, 0.9216, -0.3677, 0.1239, 0.0007, -0.0002, -0.0060, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.2304, 23, -0.2229, 0.1099, 0.9762, -0.0639, -0.0373, -0.0150, -31.4236, 42.9407, 57.6732, -173.5928, -12.7799, -44.2206, 0.0096, 0.9216, -0.3677, 0.1239, 0.0017, -0.0010, -0.0071, 0.0000, 0.0000, 0.0000, 0.0000
