SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, 0.0000, 0, -0.0456, -0.1328, 0.9953, 0.0017, -0.0043, 0.0013, 29.2477, 38.5393, -19.9520, 172.4281, -2.5635, 149.9762, -0.0045, -0.2598, -0.9631, -0.0695, -0.0010, 0.0024, -0.0049, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0100, 1, -0.0456, -0.1328, 0.9953, 0.0016, -0.0048, 0.0013, 29.2469, 38.5397, -19.9560, 172.4281, -2.5630, 149.9761, -0.0045, -0.2598, -0.9631, -0.0695, -0.0006, 0.0011, -0.0051, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0200, 2, -0.0456, -0.1328, 0.9953, 0.0021, -0.0050, 0.0012, 29.2440, 38.5396, -19.9590, 172.4294, -2.5629, 149.9763, -0.0045, -0.2598, -0.9631, -0.0695, -0.0009, 0.0016, -0.0065, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0300, 3, -0.0456, -0.1328, 0.9953, 0.0019, -0.0044, 0.0010, 29.2393, 38.5403, -19.9607, 172.4193, -2.5715, 149.9771, -0.0045, -0.2598, -0.9631, -0.0696, -0.0007, 0.0021, -0.0035, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0400, 4, -0.0456, -0.1328, 0.9953, 0.0016, -0.0036, 0.0011, 29.2334, 38.5456, -19.9617, 172.4179, -2.5734, 149.9770, -0.0045, -0.2598, -0.9631, -0.0696, 0.0013, 0.0016, -0.0050, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0500, 5, -0.0456, -0.1328, 0.9953, 0.0010, -0.0033, 0.0011, 29.2315, 38.5387, -19.9608, 172.4167, -2.5740, 149.9776, -0.0045, -0.2598, -0.9631, -0.0697, 0.0027, 0.0016, -0.0052, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0600, 6, -0.0456, -0.1328, 0.9953, 0.0006, -0.0032, 0.0010, 29.2305, 38.5336, -19.9599, 172.4162, -2.5741, 149.9775, -0.0045, -0.2598, -0.9631, -0.0697, 0.0020, 0.0008, -0.0028, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0700, 7, -0.0456, -0.1328, 0.9953, 0.0007, -0.0030, 0.0008, 29.2298, 38.5256, -19.9591, 172.4168, -2.5747, 149.9782, -0.0045, -0.2598, -0.9631, -0.0697, 0.0021, 0.0010, -0.0055, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0800, 8, -0.0456, -0.1328, 0.9953, 0.0010, -0.0029, 0.0007, 29.2292, 38.5142, -19.9584, 172.4287, -2.5798, 149.9777, -0.0046, -0.2598, -0.9631, -0.0696, 0.0017, -0.0001, -0.0058, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0900, 9, -0.0456, -0.1328, 0.9953, 0.0010, -0.0031, 0.0005, 29.2311, 38.5124, -19.9536, 172.4288, -2.5801, 149.9784, -0.0046, -0.2598, -0.9631, -0.0696, 0.0010, 0.0009, -0.0046, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.1000, 10, -0.0456, -0.1328, 0.9953, 0.0016, -0.0030, 0.0002, 29.2315, 38.5140, -19.9544, 172.4306, -2.5794, 149.9789, -0.0046, -0.2598, -0.9631, -0.0696, -0.0002, 0.0015, -0.0047, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.1100, 11, -0.0456, -0.1328, 0.9953, 0.0018, -0.0034, -0.0002, 29.2315, 38.5132, -19.9534, 172.4303, -2.5782, 149.9793, -0.0046, -0.2598, -0.9631, -0.0696, -0.0001, 0.0004, -0.0057, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.1200, 12, -0.0456, -0.1328, 0.9953, 0.0015, -0.0033, 0.0000, 29.2306, 38.5106, -19.9508, 172.4296, -2.5789, 149.9791, -0.0046, -0.2598, -0.9631, -0.0696, -0.0003, -0.0004, -0.0073, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.1300, 13, -0.0456, -0.1328, 0.9953, 0.0010, -0.0030, 0.0000, 29.2272, 38.5130, -19.9542, 172.4255, -2.5861, 149.9790, -0.0046, -0.2598, -0.9631, -0.0696, 0.0003, 0.0010, -0.0046, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.1400, 14, -0.0456, -0.1328, 0.9953, 0.0008, -0.0029, -0.0000, 29.2291, 38.5199, -19.9541, 172.4254, -2.5863, 149.9794, -0.0046, -0.2598, -0.9631, -0.0696, 0.0003, 0.0010, -0.0052, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.1500, 15, -0.0456, -0.1328, 0.9953, 0.0007, -0.0024, -0.0002, 29.2350, 38.5181, -19.9536, 172.4250, -2.5881, 149.9799, -0.0047, -0.2598, -0.9631, -0.0696, 0.0011, 0.0007, -0.0054, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.1600, 16, -0.0456, -0.1328, 0.9953, 0.0006, -0.0019, -0.0001, 29.2409, 38.5141, -19.9540, 172.4249, -2.5887, 149.9796, -0.0047, -0.2598, -0.9631, -0.0696, 0.0009, 0.0017, -0.0055, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.1700, 17, -0.0456, -0.1328, 0.9953, 0.0003, -0.0023, -0.0001, 29.2442, 38.5106, -19.9555, 172.4240, -2.5870, 149.9795, -0.0047, -0.2598, -0.9631, -0.0696, 0.0010, 0.0007, -0.0045, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.1800, 18, -0.0456, -0.1328, 0.9953, 0.0002, -0.0033, 0.0001, 29.2436, 38.5065, -19.9570, 172.4349, -2.5819, 149.9779, -0.0046, -0.2598, -0.9631, -0.0695, 0.0011, -0.0003, -0.0014, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.1900, 19, -0.0456, -0.1328, 0.9953, 0.0002, -0.0028, -0.0002, 29.2449, 38.5058, -19.9568, 172.4351, -2.5843, 149.9793, -0.0047, -0.2598, -0.9631, -0.0695, 0.0015, 0.0022, -0.0043, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.2000, 20, -0.0456, -0.1328, 0.9953, 0.0003, -0.0025, -0.0005, 29.2427, 38.5064, -19.9559, 172.4355, -2.5838, 149.9799, -0.0046, -0.2598, -0.9631, -0.0695, 0.0003, 0.0011, -0.0059, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.2100, 21, -0.0456, -0.1328, 0.9953, -0.0002, -0.0026, -0.0004, 29.2396, 38.5081, -19.9573, 172.4339, -2.5839, 149.9794, -0.0046, -0.2598, -0.9631, -0.0695, 0.0009, 0.0010, -0.0031, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.2200, 22, -0.0456, -0.1328, 0.9953, -0.0006, -0.0026, -0.0004, 29.2372, 38.5115, -19.9604, 172.4329, -2.5836, 149.9794, -0.0046, -0.2598, -0.9631, -0.0695, 0.0009, 0.0003, -0.0068, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.2300, 23, -0.0456, -0.1328, 0.9953, -0.0008, -0.0024, -0.0003, 29.2360, 38.5184, -19.9614, 172.4364, -2.5784, 149.9791, -0.0046, -0.2598, -0.9631, -0.0695, -0.0002, 0.0013, -0.0025, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.2400, 24, -0.0456, -0.1328, 0.9953, -0.0008, -0.0032, -0.0007, 29.2352, 38.5250, -19.9591, 172.4359, -2.5763, 149.9804, -0.0046, -0.2598, -0.9632, -0.0695, -0.0005, 0.0016, -0.0039, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.2500, 25, -0.0456, -0.1328, 0.9953, -0.0011, -0.0033, -0.0014, 29.2373, 38.5296, -19.9594, 172.4349, -2.5762, 149.9818, -0.0046, -0.2598, -0.9632, -0.0695, -0.0001, 0.0011, -0.0074, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.2600, 26, -0.0456, -0.1328, 0.9953, -0.0015, -0.0030, -0.0013, 29.2387, 38.5297, -19.9588, 172.4338, -2.5771, 149.9812, -0.0046, -0.2598, -0.9632, -0.0695, -0.0011, 0.0016, -0.0034, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.2700, 27, -0.0456, -0.1328, 0.9953, -0.0015, -0.0027, -0.0010, 29.2375, 38.5284, -19.9571, 172.4348, -2.5777, 149.9800, -0.0046, -0.2598, -0.9631, -0.0695, 0.0001, 0.0018, -0.0045, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.2800, 28, -0.0456, -0.1328, 0.9953, -0.0014, -0.0024, -0.0009, 29.2340, 38.5345, -19.9581, 172.4304, -2.5806, 149.9811, -0.0046, -0.2598, -0.9631, -0.0696, 0.0013, 0.0009, -0.0054, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.2900, 29, -0.0456, -0.1328, 0.9953, -0.0015, -0.0018, -0.0009, 29.2365, 38.5393, -19.9568, 172.4301, -2.5822, 149.9813, -0.0046, -0.2598, -0.9631, -0.0696, 0.0013, 0.0013, -0.0048, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.3000, 30, -0.0456, -0.1328, 0.9953, -0.0012, -0.0016, -0.0010, 29.2377, 38.5318, -19.9569, 172.4312, -2.5819, 149.9809, -0.0046, -0.2598, -0.9631, -0.0696, 0.0026, 0.0002, -0.0045, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.3100, 31, -0.0456, -0.1328, 0.9953, -0.0007, -0.0017, -0.0008, 29.2398, 38.5215, -19.9556, 172.4328, -2.5817, 149.9804, -0.0046, -0.2598, -0.9631, -0.0695, 0.0028, 0.0004, -0.0026, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.3200, 32, -0.0456, -0.1328, 0.9953, -0.0004, -0.0019, -0.0006, 29.2435, 38.5148, -19.9527, 172.4334, -2.5809, 149.9798, -0.0046, -0.2598, -0.9631, -0.0695, 0.0017, 0.0006, -0.0064, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.3300, 33, -0.0456, -0.1328, 0.9953, -0.0004, -0.0027, -0.0005, 29.2432, 38.5186, -19.9493, 172.4359, -2.5843, 149.9794, -0.0047, -0.2598, -0.9631, -0.0695, 0.0013, 0.0013, -0.0068, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.3400, 34, -0.0456, -0.1328, 0.9953, -0.0004, -0.0039, -0.0006, 29.2472, 38.5156, -19.9498, 172.4364, -2.5818, 149.9794, -0.0046, -0.2598, -0.9631, -0.0695, -0.0007, 0.0004, -0.0051, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.3500, 35, -0.0456, -0.1328, 0.9953, -0.0005, -0.0043, -0.0005, 29.2522, 38.5116, -19.9509, 172.4359, -2.5807, 149.9788, -0.0046, -0.2598, -0.9631, -0.0695, -0.0019, 0.0021, -0.0040, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.3600, 36, -0.0456, -0.1328, 0.9953, -0.0006, -0.0045, -0.0003, 29.2557, 38.5098, -19.9521, 172.4361, -2.5806, 149.9783, -0.0046, -0.2598, -0.9631, -0.0695, -0.0012, 0.0019, -0.0055, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.3700, 37, -0.0456, -0.1328, 0.9953, -0.0006, -0.0046, 0.0000, 29.2562, 38.5104, -19.9553, 172.4357, -2.5807, 149.9769, -0.0046, -0.2598, -0.9631, -0.0695, -0.0013, 0.0019, -0.0070, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.3800, 38, -0.0456, -0.1328, 0.9953, -0.0003, -0.0040, 0.0001, 29.2558, 38.5147, -19.9568, 172.4235, -2.5728, 149.9785, -0.0045, -0.2598, -0.9631, -0.0696, -0.0006, 0.0005, -0.0042, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.3900, 39, -0.0456, -0.1328, 0.9953, -0.0004, -0.0029, 0.0000, 29.2566, 38.5127, -19.9582, 172.4226, -2.5758, 149.9790, -0.0046, -0.2598, -0.9631, -0.0696, 0.0021, 0.0007, -0.0051, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.4000, 40, -0.0456, -0.1328, 0.9953, -0.0006, -0.0018, 0.0001, 29.2571, 38.5084, -19.9600, 172.4223, -2.5779, 149.9790, -0.0046, -0.2598, -0.9631, -0.0696, 0.0024, 0.0013, -0.0046, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.4100, 41, -0.0456, -0.1328, 0.9953, -0.0005, -0.0012, 0.0004, 29.2568, 38.5020, -19.9634, 172.4228, -2.5789, 149.9781, -0.0046, -0.2598, -0.9631, -0.0696, 0.0024, 0.0006, -0.0039, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.4200, 42, -0.0456, -0.1328, 0.9953, -0.0003, -0.0012, 0.0005, 29.2561, 38.4901, -19.9704, 172.4233, -2.5784, 149.9785, -0.0046, -0.2598, -0.9631, -0.0696, 0.0034, 0.0016, -0.0042, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.4300, 43, -0.0456, -0.1328, 0.9953, -0.0002, -0.0019, 0.0001, 29.2592, 38.4918, -19.9776, 172.4202, -2.5819, 149.9793, -0.0046, -0.2598, -0.9631, -0.0696, 0.0026, 0.0016, -0.0055, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.4400, 44, -0.0456, -0.1328, 0.9953, 0.0001, -0.0028, -0.0001, 29.2579, 38.4942, -19.9819, 172.4210, -2.5801, 149.9794, -0.0046, -0.2598, -0.9631, -0.0696, 0.0000, 0.0000, -0.0035, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.4500, 45, -0.0456, -0.1328, 0.9953, -0.0004, -0.0033, -0.0001, 29.2558, 38.4953, -19.9840, 172.4190, -2.5783, 149.9794, -0.0046, -0.2598, -0.9631, -0.0697, 0.0005, 0.0020, -0.0068, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.4600, 46, -0.0456, -0.1328, 0.9953, -0.0004, -0.0035, -0.0005, 29.2545, 38.4924, -19.9844, 172.4194, -2.5785, 149.9805, -0.0046, -0.2598, -0.9631, -0.0696, -0.0018, 0.0009, -0.0057, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.4700, 47, -0.0456, -0.1328, 0.9953, -0.0003, -0.0033, -0.0008, 29.2534, 38.4824, -19.9838, 172.4194, -2.5795, 149.9812, -0.0046, -0.2598, -0.9631, -0.0697, -0.0012, 0.0024, -0.0036, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.4800, 48, -0.0456, -0.1328, 0.9953, -0.0001, -0.0025, -0.0007, 29.2534, 38.4823, -19.9846, 172.4247, -2.5796, 149.9802, -0.0046, -0.2598, -0.9631, -0.0696, -0.0004, 0.0016, -0.0042, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.4900, 49, -0.0456, -0.1328, 0.9953, -0.0001, -0.0015, -0.0001, 29.2500, 38.4866, -19.9866, 172.4243, -2.5819, 149.9795, -0.0046, -0.2598, -0.9631, -0.0696, 0.0008, 0.0013, -0.0064, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.5000, 50, -0.0456, -0.1328, 0.9953, -0.0003, -0.0007, 0.0001, 29.2462, 38.4902, -19.9892, 172.4242, -2.5834, 149.9794, -0.0046, -0.2598, -0.9631, -0.0696, 0.0026, 0.0009, -0.0043, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.5100, 51, -0.0456, -0.1328, 0.9953, -0.0005, 0.0001, 0.0003, 29.2448, 38.4892, -19.9916, 172.4234, -2.5858, 149.9790, -0.0046, -0.2598, -0.9631, -0.0696, 0.0041, 0.0011, -0.0031, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.5200, 52, -0.0456, -0.1328, 0.9953, -0.0007, -0.0000, 0.0003, 29.2477, 38.4812, -19.9928, 172.4227, -2.5845, 149.9786, -0.0046, -0.2598, -0.9631, -0.0696, 0.0028, 0.0019, -0.0047, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.5300, 53, -0.0456, -0.1328, 0.9953, -0.0005, -0.0006, 0.0003, 29.2427, 38.4736, -19.9963, 172.4229, -2.5884, 149.9788, -0.0047, -0.2598, -0.9631, -0.0696, 0.0010, 0.0020, -0.0041, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.5400, 54, -0.0457, -0.1328, 0.9953, -0.0005, -0.0016, 0.0002, 29.2374, 38.4686, -20.0002, 172.4222, -2.5858, 149.9788, -0.0046, -0.2598, -0.9631, -0.0696, -0.0000, 0.0022, -0.0062, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.5500, 55, -0.0456, -0.1328, 0.9953, -0.0004, -0.0023, -0.0000, 29.2335, 38.4650, -20.0040, 172.4227, -2.5843, 149.9792, -0.0046, -0.2598, -0.9631, -0.0696, -0.0019, 0.0021, -0.0054, 0.0000, 0.0000, 0.0000, 0.0000
