SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, 0.0001, 0, -0.0231, -0.0086, -1.0046, 0.1007, 0.0410, -0.0218, -24.3204, 65.5656, -95.6153, 0.2573, -1.6439, -0.0039, 0.9999, -0.0022, 0.0143, 0.0000, -0.0056, 0.0041, 0.0050, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0101, 1, -0.0275, -0.0047, -1.0051, -0.0055, -0.0607, -0.0282, -24.9927, 65.8287, -95.6153, 0.2573, -1.6442, -0.0042, 0.9999, -0.0022, 0.0143, 0.0000, -0.0012, 0.0002, 0.0055, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0201, 2, -0.0287, -0.0040, -1.0063, 0.0647, 0.0062, 0.0457, -24.9927, 65.8287, -95.6153, 0.2578, -1.6441, -0.0038, 0.9999, -0.0022, 0.0143, 0.0000, 0.0001, -0.0005, 0.0067, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0301, 3, -0.0311, -0.0047, -1.0077, -0.0059, -0.0296, 0.0259, -24.1742, 65.8872, -95.4692, 0.2578, -1.6450, -0.0035, 0.9999, -0.0022, 0.0144, -0.0000, 0.0024, 0.0002, 0.0081, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0401, 4, -0.0228, -0.0067, -1.0076, -0.0410, -0.0359, 0.0629, -24.2911, 64.8056, -95.6153, 0.2580, -1.6436, -0.0029, 0.9999, -0.0023, 0.0143, -0.0000, -0.0059, 0.0022, 0.0080, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0501, 5, -0.0302, -0.0035, -1.0101, -0.0061, 0.0483, 0.0836, -24.8465, 64.8641, -95.0307, 0.2576, -1.6434, -0.0020, 0.9999, -0.0022, 0.0143, -0.0000, 0.0015, -0.0010, 0.0105, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0601, 6, -0.0274, -0.0018, -1.0062, -0.0404, -0.0520, 0.0103, -24.9927, 63.4902, -95.1184, 0.2564, -1.6435, -0.0019, 0.9999, -0.0022, 0.0143, -0.0000, -0.0013, -0.0027, 0.0066, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0701, 7, -0.0285, -0.0051, -1.0113, -0.0222, -0.0173, -0.0579, -24.9927, 63.4902, -95.1184, 0.2564, -1.6436, -0.0025, 0.9999, -0.0022, 0.0143, -0.0000, -0.0002, 0.0006, 0.0117, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0801, 8, -0.0300, -0.0036, -1.0049, 0.0131, 0.0334, -0.0554, -24.5835, 65.5364, -95.3522, 0.2563, -1.6436, -0.0031, 0.9999, -0.0022, 0.0143, -0.0000, 0.0013, -0.0008, 0.0053, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0901, 9, -0.0278, -0.0045, -1.0051, -0.0941, -0.0697, 0.0427, -24.6711, 65.8287, -94.9722, 0.2553, -1.6440, -0.0026, 0.9999, -0.0022, 0.0143, -0.0000, -0.0009, 0.0000, 0.0055, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.1001, 10, -0.0331, -0.0043, -1.0109, 0.0831, -0.1037, 0.1710, -24.3204, 65.1272, -95.6445, 0.2560, -1.6462, -0.0009, 0.9999, -0.0022, 0.0144, -0.0000, 0.0044, -0.0002, 0.0113, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.1101, 11, -0.0279, -0.0032, -1.0059, 0.0491, -0.0507, -0.0384, -24.3204, 65.1272, -95.6445, 0.2562, -1.6464, -0.0013, 0.9999, -0.0022, 0.0144, -0.0000, -0.0008, -0.0012, 0.0064, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.1201, 12, -0.0227, -0.0067, -1.0065, -0.0048, 0.0501, -0.0558, -24.3204, 66.0333, -95.2061, 0.2568, -1.6441, -0.0019, 0.9999, -0.0022, 0.0143, -0.0000, -0.0060, 0.0023, 0.0069, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.1301, 13, -0.0316, -0.0028, -1.0076, 0.0121, 0.0150, 0.0662, -24.4081, 65.1564, -95.2645, 0.2564, -1.6447, -0.0012, 0.9999, -0.0022, 0.0144, -0.0000, 0.0029, -0.0016, 0.0080, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.1401, 14, -0.0293, -0.0045, -1.0048, 0.0580, -0.0907, 0.0505, -24.6127, 65.6825, -95.3815, 0.2569, -1.6457, -0.0007, 0.9999, -0.0022, 0.0144, -0.0000, 0.0006, -0.0000, 0.0052, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.1501, 15, -0.0323, -0.0055, -1.0036, 0.0217, -0.0070, 0.0683, -24.2327, 64.9810, -95.1184, 0.2574, -1.6468, -0.0000, 0.9999, -0.0022, 0.0144, -0.0000, 0.0035, 0.0010, 0.0040, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.1601, 16, -0.0281, -0.0077, -1.0071, 0.0031, 0.0597, 0.1038, -24.2327, 64.9810, -95.1184, 0.2583, -1.6459, 0.0010, 0.9999, -0.0023, 0.0144, -0.0000, -0.0006, 0.0032, 0.0075, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.1701, 17, -0.0285, -0.0036, -1.0106, 0.0033, 0.1279, 0.0356, -24.7588, 65.0395, -94.7091, 0.2581, -1.6445, 0.0014, 0.9999, -0.0023, 0.0144, -0.0000, -0.0002, -0.0009, 0.0110, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.1801, 18, -0.0297, -0.0053, -1.0063, -0.1742, -0.0762, 0.0938, -24.7004, 65.5364, -95.5569, 0.2565, -1.6455, 0.0023, 0.9999, -0.0022, 0.0144, -0.0001, 0.0010, 0.0008, 0.0068, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.1901, 19, -0.0291, -0.0031, -1.0049, -0.0666, 0.0274, -0.0391, -24.1742, 65.4487, -95.8199, 0.2555, -1.6453, 0.0019, 0.9999, -0.0022, 0.0144, -0.0000, 0.0004, -0.0013, 0.0053, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.2001, 20, -0.0304, -0.0052, -1.0093, -0.0315, -0.0240, 0.0483, -25.0219, 64.1041, -95.8199, 0.2554, -1.6460, 0.0024, 0.9999, -0.0022, 0.0144, -0.0001, 0.0017, 0.0008, 0.0097, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.2101, 21, -0.0273, -0.0041, -1.0053, 0.0571, 0.0949, 0.0196, -25.0219, 64.1041, -95.8199, 0.2558, -1.6446, 0.0026, 0.9999, -0.0022, 0.0144, -0.0001, -0.0014, -0.0004, 0.0057, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.2201, 22, -0.0276, -0.0044, -1.0082, -0.1024, -0.0241, 0.0106, -24.9635, 65.1564, -95.7030, 0.2548, -1.6444, 0.0027, 0.9999, -0.0022, 0.0143, -0.0001, -0.0011, -0.0000, 0.0087, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.2301, 23, -0.0281, -0.0035, -1.0057, 0.0580, 0.1131, -0.0846, -24.6127, 65.7995, -95.4107, 0.2551, -1.6431, 0.0019, 0.9999, -0.0022, 0.0143, -0.0000, -0.0005, -0.0010, 0.0061, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.2401, 24, -0.0300, -0.0049, -1.0057, -0.0161, 0.0017, -0.0624, -23.8819, 65.7702, -95.4984, 0.2551, -1.6434, 0.0012, 0.9999, -0.0022, 0.0143, -0.0000, 0.0013, 0.0005, 0.0062, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.2501, 25, -0.0278, -0.0021, -1.0092, 0.0182, -0.0523, -0.0124, -24.4665, 64.6595, -95.7030, 0.2546, -1.6436, 0.0011, 0.9999, -0.0022, 0.0143, -0.0000, -0.0009, -0.0024, 0.0096, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.2601, 26, -0.0282, -0.0046, -1.0097, -0.0352, -0.0017, -0.0483, -24.4665, 64.6595, -95.7030, 0.2543, -1.6434, 0.0007, 0.9999, -0.0022, 0.0143, -0.0000, -0.0005, 0.0002, 0.0101, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.2701, 27, -0.0328, 0.0025, -1.0146, 0.1085, -0.1349, -0.0803, -24.8758, 65.7118, -95.0307, 0.2534, -1.6458, -0.0001, 0.9999, -0.0022, 0.0144, -0.0000, 0.0041, -0.0069, 0.0150, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.2801, 28, -0.0272, -0.0038, -1.0036, 0.0528, -0.0195, 0.0769, -24.7588, 65.7410, -95.7030, 0.2537, -1.6455, 0.0007, 0.9999, -0.0022, 0.0144, -0.0000, -0.0015, -0.0007, 0.0040, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.2901, 29, -0.0277, -0.0065, -1.0018, -0.0004, 0.0312, 0.0235, -24.1742, 65.4195, -95.1476, 0.2543, -1.6449, 0.0009, 0.9999, -0.0022, 0.0144, -0.0000, -0.0010, 0.0020, 0.0023, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.3001, 30, -0.0270, -0.0025, -1.0088, 0.0175, 0.0145, 0.0239, -24.6419, 64.2210, -95.8784, 0.2539, -1.6442, 0.0012, 0.9999, -0.0022, 0.0143, -0.0000, -0.0017, -0.0020, 0.0092, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.3101, 31, -0.0304, -0.0059, -1.0058, -0.0353, -0.1207, 0.0363, -24.6419, 64.2210, -95.8784, 0.2540, -1.6458, 0.0015, 0.9999, -0.0022, 0.0144, -0.0000, 0.0017, 0.0015, 0.0062, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.3201, 32, -0.0312, -0.0035, -1.0068, -0.0701, -0.0859, -0.0689, -24.7296, 64.5425, -95.6445, 0.2530, -1.6473, 0.0008, 0.9999, -0.0022, 0.0144, -0.0000, 0.0025, -0.0010, 0.0073, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.3301, 33, -0.0304, -0.0049, -1.0064, 0.0723, -0.1019, -0.0462, -24.3788, 65.5364, -95.3230, 0.2539, -1.6487, 0.0003, 0.9999, -0.0022, 0.0144, -0.0000, 0.0016, 0.0005, 0.0068, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.3401, 34, -0.0300, -0.0068, -1.0081, 0.0003, 0.0401, 0.0910, -24.3204, 65.2733, -95.5276, 0.2545, -1.6486, 0.0012, 0.9999, -0.0022, 0.0144, -0.0000, 0.0012, 0.0024, 0.0085, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.3501, 35, -0.0274, -0.0041, -1.0075, 0.0208, 0.0518, -0.0498, -24.2327, 65.2733, -95.3522, 0.2546, -1.6476, 0.0007, 0.9999, -0.0022, 0.0144, -0.0000, -0.0014, -0.0004, 0.0079, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.3601, 36, -0.0281, -0.0026, -1.0084, 0.0920, 0.0523, -0.0469, -24.2327, 65.6825, -95.3522, 0.2550, -1.6468, 0.0003, 0.9999, -0.0022, 0.0144, -0.0000, -0.0007, -0.0019, 0.0088, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.3701, 37, -0.0302, -0.0060, -1.0060, -0.0143, -0.0664, -0.0363, -24.6419, 65.5949, -95.6738, 0.2553, -1.6479, -0.0001, 0.9999, -0.0022, 0.0144, -0.0000, 0.0015, 0.0016, 0.0064, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.3801, 38, -0.0292, -0.0073, -1.0078, 0.0739, -0.0331, 0.0376, -24.4373, 65.1272, -95.1768, 0.2569, -1.6482, 0.0003, 0.9999, -0.0022, 0.0144, -0.0000, 0.0004, 0.0029, 0.0082, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.3901, 39, -0.0277, -0.0091, -1.0066, -0.0515, -0.0010, 0.0856, -24.4958, 65.4779, -95.7030, 0.2576, -1.6479, 0.0011, 0.9999, -0.0022, 0.0144, -0.0000, -0.0010, 0.0046, 0.0070, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.4001, 40, -0.0280, -0.0033, -1.0091, -0.1390, 0.0684, -0.1255, -24.4958, 65.4779, -95.7030, 0.2559, -1.6469, -0.0002, 0.9999, -0.0022, 0.0144, -0.0000, -0.0008, -0.0012, 0.0095, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.4101, 41, -0.0315, -0.0017, -1.0053, -0.0496, -0.0662, -0.0726, -25.0512, 64.2502, -95.7322, 0.2546, -1.6483, -0.0009, 0.9999, -0.0022, 0.0144, -0.0000, 0.0027, -0.0028, 0.0057, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.4201, 42, -0.0271, -0.0069, -1.0063, -0.0139, -0.0828, -0.0715, -24.7296, 64.8933, -95.5276, 0.2552, -1.6486, -0.0016, 0.9999, -0.0022, 0.0144, -0.0000, -0.0016, 0.0024, 0.0067, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.4301, 43, -0.0282, -0.0066, -1.0081, 0.0743, 0.0354, -0.0480, -24.7588, 65.5656, -95.2645, 0.2565, -1.6480, -0.0021, 0.9999, -0.0022, 0.0144, -0.0000, -0.0005, 0.0021, 0.0086, 0.0000, 0.0000, 0.0000, 0.0000
