SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, 0.0001, 0, -0.0852, 0.1126, 0.9979, 0.0588, -0.0267, -0.0415, -47.0915, 59.1932, 56.1824, -173.5457, -4.8846, 0.0117, 0.0562, 0.9975, 0.0025, 0.0425, 0.0001, -0.0006, -0.0079, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0101, 1, -0.0857, 0.1140, 0.9942, 0.0061, 0.0258, -0.1109, -45.8930, 58.5794, 56.7670, -173.5457, -4.8850, 0.0128, 0.0562, 0.9975, 0.0025, 0.0425, 0.0006, -0.0020, -0.0042, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0201, 2, -0.0865, 0.1134, 0.9954, 0.0930, 0.0937, -0.0730, -47.0330, 59.8655, 56.6209, -173.5448, -4.8860, 0.0134, 0.0563, 0.9975, 0.0025, 0.0426, 0.0014, -0.0014, -0.0054, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0301, 3, -0.0858, 0.1128, 0.9961, 0.0921, -0.0124, 0.0988, -47.0330, 59.8655, 56.6209, -173.5536, -4.8766, 0.0141, 0.0562, 0.9975, 0.0025, 0.0425, 0.0006, -0.0008, -0.0061, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0401, 4, -0.0870, 0.1111, 0.9965, -0.1005, -0.0628, 0.0246, -46.5653, 59.2809, 56.4163, -173.5546, -4.8760, 0.0139, 0.0562, 0.9975, 0.0025, 0.0425, 0.0020, 0.0007, -0.0064, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0501, 5, -0.0872, 0.1118, 0.9958, 0.1480, -0.1994, 0.0608, -46.3899, 58.9009, 56.2701, -173.5531, -4.8739, 0.0135, 0.0562, 0.9975, 0.0025, 0.0424, 0.0022, 0.0001, -0.0057, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0601, 6, -0.0863, 0.1133, 0.9956, -0.0666, 0.0413, 0.0290, -46.7115, 57.5270, 56.2993, -173.5538, -4.8743, 0.0132, 0.0562, 0.9975, 0.0025, 0.0424, 0.0014, -0.0014, -0.0056, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0701, 7, -0.0870, 0.1123, 0.9961, -0.1174, -0.0202, -0.0733, -47.5592, 59.6025, 56.5332, -173.5550, -4.8742, 0.0140, 0.0562, 0.9975, 0.0025, 0.0424, 0.0020, -0.0005, -0.0060, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0801, 8, -0.0864, 0.1123, 0.9965, -0.0658, -0.0048, 0.0151, -47.5592, 59.6025, 56.5332, -173.5563, -4.8728, 0.0143, 0.0562, 0.9975, 0.0025, 0.0424, 0.0014, -0.0004, -0.0064, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0901, 9, -0.0856, 0.1134, 0.9971, 0.0227, -0.0391, 0.0333, -46.8576, 59.4271, 56.3286, -173.5561, -4.8723, 0.0140, 0.0562, 0.9975, 0.0025, 0.0424, 0.0006, -0.0016, -0.0071, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.1001, 10, -0.0855, 0.1131, 0.9948, 0.0404, 0.0308, -0.0345, -46.9746, 58.6378, 55.8609, -173.5557, -4.8727, 0.0143, 0.0562, 0.9975, 0.0025, 0.0424, 0.0006, -0.0012, -0.0047, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.1101, 11, -0.0863, 0.1136, 0.9960, -0.1013, -0.0053, 0.0319, -46.3607, 58.2286, 56.7963, -173.5567, -4.8726, 0.0140, 0.0562, 0.9975, 0.0025, 0.0424, 0.0013, -0.0018, -0.0059, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.1201, 12, -0.0867, 0.1129, 0.9942, -0.1360, -0.0043, -0.0210, -46.1269, 58.0824, 56.3870, -173.5580, -4.8726, 0.0142, 0.0561, 0.9975, 0.0025, 0.0424, 0.0018, -0.0011, -0.0041, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.1301, 13, -0.0844, 0.1120, 0.9951, -0.0841, 0.0464, 0.0159, -46.1269, 58.0824, 56.3870, -173.5677, -4.8630, 0.0162, 0.0561, 0.9975, 0.0025, 0.0423, -0.0005, -0.0002, -0.0050, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.1401, 14, -0.0866, 0.1133, 0.9952, 0.0218, 0.0641, 0.0007, -46.9453, 58.1994, 57.0301, -173.5675, -4.8636, 0.0161, 0.0561, 0.9975, 0.0025, 0.0424, 0.0018, -0.0017, -0.0050, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.1501, 15, -0.0864, 0.1123, 0.9968, 0.0417, -0.0717, -0.0368, -46.5946, 58.8717, 56.0947, -173.5671, -4.8629, 0.0166, 0.0561, 0.9975, 0.0025, 0.0423, 0.0016, -0.0007, -0.0066, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.1601, 16, -0.0855, 0.1130, 0.9953, 0.0050, -0.0217, 0.0159, -47.2961, 59.3686, 56.9132, -173.5671, -4.8627, 0.0164, 0.0561, 0.9975, 0.0025, 0.0423, 0.0007, -0.0014, -0.0051, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.1701, 17, -0.0863, 0.1127, 0.9956, -0.0765, -0.0673, -0.0366, -46.9453, 59.2517, 56.2701, -173.5679, -4.8621, 0.0169, 0.0561, 0.9975, 0.0025, 0.0423, 0.0016, -0.0011, -0.0055, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.1801, 18, -0.0859, 0.1128, 0.9966, -0.0785, -0.0008, 0.0519, -46.4484, 58.1409, 56.3286, -173.5641, -4.8590, 0.0201, 0.0561, 0.9975, 0.0026, 0.0423, 0.0012, -0.0012, -0.0065, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.1901, 19, -0.0852, 0.1125, 0.9952, 0.0274, -0.0179, 0.0708, -46.4484, 58.1409, 56.3286, -173.5638, -4.8588, 0.0194, 0.0561, 0.9975, 0.0025, 0.0423, 0.0005, -0.0008, -0.0051, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.2001, 20, -0.0865, 0.1137, 0.9965, 0.0802, 0.0167, 0.0551, -46.3022, 59.2809, 56.2116, -173.5630, -4.8589, 0.0189, 0.0561, 0.9975, 0.0025, 0.0423, 0.0018, -0.0020, -0.0063, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.2101, 21, -0.0852, 0.1136, 0.9959, 0.0105, 0.0354, -0.0328, -46.7992, 58.4332, 56.0362, -173.5629, -4.8593, 0.0191, 0.0561, 0.9975, 0.0025, 0.0423, 0.0005, -0.0018, -0.0057, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.2201, 22, -0.0860, 0.1131, 0.9957, 0.0105, -0.0169, 0.0183, -46.8284, 59.0763, 56.5332, -173.5628, -4.8591, 0.0190, 0.0561, 0.9975, 0.0025, 0.0423, 0.0012, -0.0014, -0.0055, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.2301, 23, -0.0862, 0.1136, 0.9968, -0.0085, 0.0681, 0.0373, -47.2376, 58.7255, 56.1532, -173.5650, -4.8556, 0.0196, 0.0561, 0.9975, 0.0025, 0.0423, 0.0015, -0.0019, -0.0066, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.2401, 24, -0.0853, 0.1117, 0.9958, -0.0977, 0.1361, 0.0372, -47.2376, 58.7255, 56.1532, -173.5659, -4.8569, 0.0191, 0.0561, 0.9975, 0.0025, 0.0423, 0.0006, -0.0000, -0.0057, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.2501, 25, -0.0865, 0.1127, 0.9946, 0.0089, 0.1375, -0.0131, -46.8869, 59.9532, 55.5393, -173.5658, -4.8583, 0.0191, 0.0561, 0.9975, 0.0025, 0.0423, 0.0018, -0.0011, -0.0045, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.2601, 26, -0.0866, 0.1121, 0.9985, 0.0109, -0.0336, 0.0005, -46.5946, 59.1348, 55.8609, -173.5657, -4.8579, 0.0191, 0.0561, 0.9975, 0.0025, 0.0423, 0.0019, -0.0005, -0.0083, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.2701, 27, -0.0860, 0.1124, 0.9947, 0.0142, 0.0291, 0.0012, -46.8869, 59.2809, 56.1239, -173.5656, -4.8582, 0.0190, 0.0561, 0.9975, 0.0025, 0.0423, 0.0013, -0.0007, -0.0045, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.2801, 28, -0.0856, 0.1131, 0.9958, -0.0369, -0.0071, -0.0008, -46.8576, 58.4332, 56.2116, -173.5674, -4.8578, 0.0185, 0.0561, 0.9975, 0.0025, 0.0423, 0.0009, -0.0014, -0.0057, 0.0000, 0.0000, 0.0000, 0.0000
