SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, 0.0007, 0, -0.0651, 0.1077, 0.9982, -0.0337, 0.0216, -0.0159, -43.7299, 54.7793, 55.6855, -173.8141, -3.6808, -0.0335, -0.0539, -0.9980, -0.0014, -0.0321, 0.0009, -0.0001, -0.0061, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0107, 1, -0.0654, 0.1086, 0.9981, 0.0532, 0.0304, -0.0430, -43.7591, 55.8901, 56.0070, -173.8136, -3.6812, -0.0331, -0.0539, -0.9980, -0.0014, -0.0321, 0.0012, -0.0011, -0.0060, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0207, 2, -0.0652, 0.1075, 0.9985, 0.0360, 0.0311, -0.0781, -44.1391, 55.6562, 55.8609, -173.8225, -3.6844, -0.0302, -0.0538, -0.9980, -0.0015, -0.0321, 0.0009, 0.0000, -0.0063, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0307, 3, -0.0638, 0.1078, 0.9984, 0.0176, 0.0125, -0.0092, -43.7884, 55.6855, 56.5916, -173.8224, -3.6846, -0.0301, -0.0538, -0.9980, -0.0015, -0.0321, -0.0004, -0.0004, -0.0062, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0407, 4, -0.0651, 0.1084, 0.9976, -0.0702, 0.0304, -0.0626, -43.6714, 55.0716, 56.5039, -173.8231, -3.6849, -0.0295, -0.0538, -0.9980, -0.0015, -0.0321, 0.0008, -0.0011, -0.0054, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0507, 5, -0.0651, 0.1082, 0.9982, 0.0176, 0.0125, -0.0092, -43.6714, 55.0716, 56.5039, -173.8229, -3.6851, -0.0294, -0.0538, -0.9980, -0.0015, -0.0321, 0.0008, -0.0008, -0.0061, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0607, 6, -0.0632, 0.1078, 0.9978, 0.0013, -0.0377, -0.0629, -43.8468, 55.0132, 55.6270, -173.8230, -3.6848, -0.0288, -0.0538, -0.9980, -0.0015, -0.0321, -0.0010, -0.0005, -0.0057, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0707, 7, -0.0655, 0.1082, 1.0000, 0.0181, -0.0216, -0.0100, -43.1745, 55.7732, 55.9193, -173.8258, -3.6863, -0.0283, -0.0538, -0.9980, -0.0015, -0.0321, 0.0012, -0.0008, -0.0078, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0807, 8, -0.0649, 0.1083, 0.9973, -0.0367, 0.0276, 0.0773, -44.0807, 55.3055, 56.2116, -173.8261, -3.6865, -0.0291, -0.0538, -0.9980, -0.0015, -0.0321, 0.0006, -0.0009, -0.0052, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0907, 9, -0.0658, 0.1087, 0.9992, -0.1390, -0.0541, -0.1179, -43.5545, 54.5162, 55.9193, -173.8276, -3.6861, -0.0279, -0.0538, -0.9980, -0.0015, -0.0321, 0.0015, -0.0014, -0.0070, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.1007, 10, -0.0646, 0.1083, 0.9987, 0.0183, -0.0038, -0.0444, -43.9638, 55.2762, 56.0947, -173.8274, -3.6861, -0.0274, -0.0538, -0.9980, -0.0015, -0.0321, 0.0003, -0.0010, -0.0065, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.1107, 11, -0.0634, 0.1075, 0.9972, 0.0065, -0.0326, -0.0180, -43.9638, 55.2762, 56.0947, -173.8274, -3.6858, -0.0272, -0.0538, -0.9980, -0.0015, -0.0321, -0.0009, -0.0002, -0.0050, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.1207, 12, -0.0636, 0.1075, 0.9991, 0.0081, 0.0388, -0.0654, -43.9345, 55.6562, 56.1239, -173.8449, -3.6849, -0.0197, -0.0537, -0.9980, -0.0016, -0.0321, -0.0007, -0.0003, -0.0069, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.1307, 13, -0.0638, 0.1078, 0.9987, -0.0281, 0.0546, -0.0134, -44.1099, 54.5162, 56.3870, -173.8452, -3.6855, -0.0196, -0.0537, -0.9980, -0.0016, -0.0321, -0.0005, -0.0008, -0.0065, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.1407, 14, -0.0645, 0.1082, 0.9986, 0.0056, 0.1220, 0.0409, -43.9638, 56.0655, 55.8609, -173.8451, -3.6866, -0.0201, -0.0537, -0.9980, -0.0016, -0.0321, 0.0003, -0.0012, -0.0064, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.1507, 15, -0.0644, 0.1074, 0.9979, -0.0636, 0.0890, -0.0307, -43.7591, 55.0132, 55.7732, -173.8457, -3.6876, -0.0199, -0.0536, -0.9980, -0.0016, -0.0321, 0.0001, -0.0004, -0.0057, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.1607, 16, -0.0653, 0.1081, 0.9990, -0.0098, 0.0035, -0.0142, -43.7591, 55.0132, 55.7732, -173.8458, -3.6876, -0.0198, -0.0536, -0.9980, -0.0016, -0.0321, 0.0010, -0.0011, -0.0068, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.1707, 17, -0.0641, 0.1080, 0.9983, 0.0251, 0.0028, 0.0212, -43.2914, 54.6624, 56.0362, -173.8576, -3.6834, -0.0129, -0.0535, -0.9980, -0.0016, -0.0321, -0.0002, -0.0010, -0.0061, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.1807, 18, -0.0658, 0.1085, 0.9973, 0.0785, -0.0486, 0.0384, -43.8761, 55.2470, 55.7439, -173.8568, -3.6828, -0.0133, -0.0536, -0.9980, -0.0016, -0.0321, 0.0015, -0.0018, -0.0051, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.1907, 19, -0.0641, 0.1077, 0.9986, -0.0464, 0.1233, -0.0297, -43.7299, 54.6331, 55.9486, -173.8573, -3.6841, -0.0131, -0.0535, -0.9980, -0.0016, -0.0321, -0.0001, -0.0009, -0.0064, 0.0000, 0.0000, 0.0000, 0.0000
