SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1,-0.0001,0,1.0046,-0.0287,-0.0845,0.2652,1.7528,-1.0828,14.9664,28.442,-87.7229,20.8264,85.1994,48.3631,0.7106,0.1513,-0.6618,-0.185,-0.0082,-0.0012,0.0061,0,0,0,0
1,0.0099,1,1.0088,-0.0394,-0.0844,0.0816,1.8979,-0.6997,14.5571,27.3897,-87.9567,21.0918,85.1947,48.594,0.7106,0.151,-0.6619,-0.1849,-0.0123,0.0096,0.0063,0,0,0,0
1,0.0199,2,1.0139,-0.0311,-0.0849,0.0054,1.7041,1.2106,15.2587,27.4773,-87.2844,21.2991,85.2063,48.802,0.7104,0.151,-0.662,-0.1849,-0.0174,0.0008,0.0069,0,0,0,0
1,0.0299,3,1.0127,-0.0273,-0.0819,-0.2611,1.2891,3.043,15.171,27.682,-87.6352,21.6905,85.2073,49.1974,0.7103,0.1508,-0.6621,-0.1851,-0.0162,-0.0034,0.0041,0,0,0,0
1,0.0399,4,1.0041,-0.0256,-0.0787,-0.5027,0.6696,3.2167,15.171,27.682,-87.6352,22.0714,85.2016,49.5846,0.7102,0.1507,-0.6622,-0.1853,-0.0076,-0.0056,0.0011,0,0,0,0
1,0.0499,5,0.9957,-0.0201,-0.0782,-0.2802,0.1641,2.9133,14.6741,28.8512,-87.0213,22.3975,85.1922,49.9146,0.7102,0.1505,-0.6623,-0.1855,0.0007,-0.0117,0.0007,0,0,0,0
1,0.0599,6,0.99,-0.0138,-0.0752,0.2603,-0.1132,2.3767,15.0833,26.7466,-87.3137,22.1388,85.2013,49.6913,0.7101,0.1509,-0.6622,-0.1856,0.0065,-0.0182,-0.0022,0,0,0,0
1,0.0699,7,0.9823,-0.0182,-0.0775,0.0852,-0.0139,0.8606,15.2587,27.6527,-86.9921,22.2342,85.198,49.7862,0.7101,0.1508,-0.6622,-0.1856,0.0142,-0.0135,0,0,0,0,0
1,0.0799,8,0.9749,-0.0327,-0.0828,0.242,0.1333,-0.4397,14.6448,28.5004,-86.7583,22.1939,85.2009,49.7434,0.7101,0.1508,-0.6622,-0.1856,0.0216,0.0011,0.0054,0,0,0,0
1,0.0899,9,0.9664,-0.0345,-0.0903,-0.0056,0.8011,0.2674,14.6448,28.5004,-86.7583,22.2592,85.2073,49.8089,0.7101,0.1508,-0.6623,-0.1856,0.0301,0.0028,0.0129,0,0,0,0
1,0.0999,10,0.9703,-0.042,-0.0959,-0.0403,1.4645,-0.4153,15.0833,28.2081,-86.9921,22.2784,85.2225,49.8286,0.71,0.1509,-0.6623,-0.1856,0.0262,0.0104,0.0187,0,0,0,0
1,0.1099,11,0.9787,-0.0468,-0.0957,0.3417,1.5601,-0.0233,15.3756,28.1497,-87.2552,22.4863,85.1832,49.9749,0.7102,0.1503,-0.6623,-0.1854,0.0178,0.0151,0.0186,0,0,0,0
1,0.1199,12,0.9874,-0.0383,-0.0918,0.7519,1.7075,-0.4657,15.4925,27.3312,-87.1675,22.5195,85.2008,50.0006,0.7101,0.1503,-0.6624,-0.1853,0.0091,0.0062,0.0144,0,0,0,0
1,0.1299,13,1.0039,-0.0328,-0.0885,1.0047,1.4837,-1.9815,15.4633,27.565,-86.6413,22.3775,85.222,49.848,0.7101,0.1504,-0.6625,-0.1851,-0.0073,0.001,0.0114,0,0,0,0
1,0.1399,14,1.0083,-0.0411,-0.0835,0.9098,1.3751,-0.0697,15.171,28.6174,-86.6706,22.441,85.235,49.9026,0.71,0.1503,-0.6626,-0.185,-0.0118,0.0094,0.0067,0,0,0,0
1,0.1499,15,1.012,-0.0285,-0.0785,0.3967,1.3856,2.6212,15.171,28.6174,-86.6706,22.7991,85.2379,50.258,0.7099,0.1502,-0.6627,-0.1852,-0.0154,-0.0035,0.0019,0,0,0,0
1,0.1599,16,1.0176,-0.015,-0.0728,0.2858,0.8824,2.1553,15.0833,27.9743,-86.6706,22.6763,85.2654,50.1764,0.7098,0.1506,-0.6628,-0.1853,-0.021,-0.0172,-0.0036,0,0,0,0
1,0.1699,17,1.0192,-0.0116,-0.069,0.0162,0.2326,0.4991,15.7264,28.1497,-86.7583,22.7429,85.2656,50.243,0.7097,0.1506,-0.6628,-0.1853,-0.0226,-0.0204,-0.0071,0,0,0,0
1,0.1799,18,1.0174,0.0007,-0.071,0.1935,-0.3548,-1.6182,15.6679,27.4481,-87.1383,22.5478,85.2686,50.0453,0.7098,0.1506,-0.6627,-0.1852,-0.0208,-0.0325,-0.0052,0,0,0,0
1,0.1899,19,1.014,-0.0016,-0.0771,0.5615,-0.4452,-1.3177,15.3172,28.5297,-87.0506,22.3857,85.2694,49.877,0.7098,0.1507,-0.6627,-0.1851,-0.0174,-0.0298,0.0009,0,0,0,0
1,0.1999,20,1.0005,-0.0023,-0.0775,0.4657,0.6686,3.4252,15.3172,28.5297,-87.0506,22.8036,85.2625,50.2916,0.7098,0.1505,-0.6628,-0.1853,-0.0039,-0.0295,0.0013,0,0,0,0
1,0.2099,21,1.0119,-0.0057,-0.0733,0.8419,1.0513,3.9801,14.7325,28.3835,-86.9044,23.069,85.2706,50.5726,0.7096,0.1505,-0.6629,-0.1854,-0.0153,-0.0267,-0.0026,0,0,0,0
1,0.2199,22,1.0229,-0.0142,-0.0674,1.7296,0.3579,2.9702,14.7618,27.7404,-86.0859,23.4333,85.2623,50.9207,0.7096,0.1502,-0.663,-0.1855,-0.0263,-0.0184,-0.0084,0,0,0,0
1,0.2299,23,1.0274,-0.0249,-0.0592,2.3171,-0.7794,1.0744,15.4925,27.4481,-87.3429,23.5382,85.2509,51.0027,0.7096,0.15,-0.663,-0.1855,-0.0308,-0.0081,-0.0167,0,0,0,0
1,0.2399,24,1.0243,-0.0273,-0.0579,2.4137,-1.4458,1.0962,15.2879,28.7343,-86.8459,23.6143,85.2333,51.0549,0.7097,0.1497,-0.663,-0.1854,-0.0277,-0.0058,-0.0181,0,0,0,0
1,0.2499,25,1.0143,-0.0287,-0.0579,1.8907,-1.6218,2.0759,15.2879,28.7343,-86.8459,23.7837,85.2102,51.2059,0.7098,0.1495,-0.6629,-0.1854,-0.0178,-0.0048,-0.0184,0,0,0,0
1,0.2599,26,1.0113,-0.0311,-0.0606,1.5635,-1.6552,2.801,14.7033,28.4712,-87.2844,24.0397,85.1983,51.4617,0.7098,0.1493,-0.6629,-0.1856,-0.0148,-0.0028,-0.0159,0,0,0,0
1,0.2699,27,1.0031,-0.0271,-0.0593,1.4065,-1.5481,2.5568,15.3172,28.3251,-86.9921,24.2569,85.1737,51.6655,0.7098,0.1491,-0.6629,-0.1857,-0.0066,-0.0073,-0.0173,0,0,0,0
1,0.2799,28,0.9937,-0.0393,-0.0631,0.9282,-0.8375,1.9893,15.0248,28.5881,-87.0506,24.4403,85.158,51.8403,0.7099,0.1489,-0.6629,-0.1858,0.0028,0.0045,-0.0137,0,0,0,0
1,0.2899,29,0.9897,-0.0363,-0.072,0.3131,0.2005,2.0885,15.171,29.202,-86.5829,24.6776,85.1512,52.0753,0.7098,0.1487,-0.6629,-0.1859,0.0067,0.0011,-0.0049,0,0,0,0
1,0.2999,30,0.9476,0.0221,-0.0873,0.9691,0.939,1.1932,15.2295,28.6758,-87.109,24.8612,85.1548,52.2498,0.7098,0.1486,-0.663,-0.1859,0.0488,-0.0576,0.0106,0,0,0,0
